Antall dager i prosenter uten kontrakt;År: 2025;;;;;;;;;;;;;
;Måned/Fartøy ;Januar ;Februar;Mars;April;Mai;Juni;Juli;August ;September;Oktober;November;Desember;Spesielle Behov/Krav
;Fartøy 1;0 %;0 %;0;0 %;0;0 %;0 %;0 %;0 %;0 %;0 %;0 %;Bareboat charter i Brasil
;Fartøy 2;0 %;0 %;0;0 %;0 %;0 %;0 %;0 %;0 %;0 %;0 %;0 %;
;Fartøy 3;0 %;0 %;0;0 %;1,79 %;0 %;0 %;0 %;0 %;0 %;0 %;0 %;
;Fartøy 4;0 %;0 %;0;0 %;0 %;0 %;0 %;0 %;0 %;0 %;0 %;0 %;
;Fartøy 5;0 %;0 %;0;3,88 %;0 %;0 %;0 %;0 %;0 %;0 %;13 %;0 %;
;Fartøy 6;0 %;0 %;0;0;0 %;0 %;0 %;0 %;0 %;0 %;0;0 %;
;Fartøy 7;0 %;0;0;0;0 %;0 %;3,13 %;0 %;0 %;0 %;0;0 %;
;Fartøy 8;74 %;56 %;0;54 %;0 %;0 %;0 %;0 %;0 %;0 %;0;0 %;
;Fartøy 9;0;0;0;0 %;0 %;0 %;0;0 %;40,45 %;100 %;100 %;88,97 %;
;Fartøy 10;0;0;61,45 %;54 %;0 %;0 %;87 %;29 %;0 %;52 %;35 %;79 %;
;Fartøy 11;0;0;0,00 %;0 %;0 %;43,74 %;25,28 %;0 %;0 %;0,00 %;0 %;11,02 %;
;Fartøy 12;0;0;0,00 %;0 %;0 %;0 %;0;0 %;0 %;0,00 %;0 %;0,00 %;
;Fartøy 13;0;0;0,00 %;0 %;0 %;0 %;0;0 %;0 %;0,00 %;0 %;0,00 %;
;Fartøy 14;0;0;0,00 %;0 %;0 %;0 %;0;0 %;0 %;0,00 %;0 %;0,00 %;
;Fartøy 15;19,89 %;0;0,00 %;0 %;0 %;0 %;0;0 %;0 %;0,00 %;0 %;0,00 %;
;Fartøy 16;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;År: 2026;;;;;;;;;;;;;
;Måned/Fartøy ;Januar ;Februar;Mars;April;Mai;Juni;Juli;August ;September;Oktober;November;Desember;Spesielle Behov/Krav
;Fartøy 1;0 %;0 %;0 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Bareboat charter i Brasil
;Fartøy 2;0 %;0 %;0 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 3;0 %;0 %;0 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 4;0 %;0 %;80 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 5;0 %;0 %;0 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 6;0 %;0 %;0 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 7;1 %;0 %;0 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 8;0 %;0 %;0 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 9;0 %;0 %;0 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 10;70,08 %;0 %;3,36 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 11;59,41 %;58 %;18,68 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 12;0 %;0 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 13;0 %;0 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 14;0 %;0 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 15;0 %;0 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;
;Fartøy 16;N/A;0 %;0,00 %;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fartøy 16 kjøpt Februar 2026
